feature,gain,fold,mean_gain
flux_min,497,1,473.8
flux_max,411,1,466.6
flux_mean,403,1,357.6
flux_median,897,1,921.8
flux_std,308,1,291.8
flux_skew,911,1,881.0
flux_err_min,781,1,759.6
flux_err_max,314,1,280.2
flux_err_mean,301,1,296.0
flux_err_median,350,1,316.4
flux_err_std,355,1,373.0
flux_err_skew,349,1,269.0
detected_mean,683,1,653.8
flux_ratio_sq_sum,302,1,309.6
flux_ratio_sq_skew,435,1,449.6
flux_by_flux_ratio_sq_sum,249,1,228.6
flux_by_flux_ratio_sq_skew,677,1,713.2
flux_w_mean,498,1,445.4
flux_diff1,393,1,331.0
flux_diff2,761,1,752.2
flux_diff3,728,1,662.6
"0__fft_coefficient__coeff_0__attr_""abs""",854,1,812.8
"0__fft_coefficient__coeff_1__attr_""abs""",786,1,751.4
0__kurtosis,453,1,421.6
0__skewness,647,1,600.2
"1__fft_coefficient__coeff_0__attr_""abs""",591,1,558.0
"1__fft_coefficient__coeff_1__attr_""abs""",830,1,780.2
1__kurtosis,518,1,512.2
1__skewness,671,1,650.4
"2__fft_coefficient__coeff_0__attr_""abs""",498,1,480.8
"2__fft_coefficient__coeff_1__attr_""abs""",648,1,603.4
2__kurtosis,540,1,610.8
2__skewness,698,1,729.4
"3__fft_coefficient__coeff_0__attr_""abs""",400,1,367.2
"3__fft_coefficient__coeff_1__attr_""abs""",461,1,372.2
3__kurtosis,660,1,667.0
3__skewness,542,1,542.6
"4__fft_coefficient__coeff_0__attr_""abs""",490,1,494.4
"4__fft_coefficient__coeff_1__attr_""abs""",487,1,457.4
4__kurtosis,642,1,543.8
4__skewness,576,1,547.6
"5__fft_coefficient__coeff_0__attr_""abs""",850,1,774.4
"5__fft_coefficient__coeff_1__attr_""abs""",951,1,932.2
5__kurtosis,575,1,565.6
5__skewness,550,1,519.8
flux__length,329,1,270.0
flux__longest_strike_above_mean,882,1,866.0
flux__longest_strike_below_mean,323,1,327.4
flux__mean_abs_change,502,1,480.2
flux__mean_change,596,1,498.8
flux_by_flux_ratio_sq__longest_strike_above_mean,545,1,480.8
flux_by_flux_ratio_sq__longest_strike_below_mean,554,1,542.6
mjd__mean_abs_change,793,1,711.4
mjd__mean_change,391,1,335.2
mjd_diff_det,1658,1,1636.2
hostgal_photoz,1949,1,1886.4
hostgal_photoz_err,1088,1,1074.6
distmod,1090,1,1117.8
mwebv,280,1,241.2
haversine,251,1,268.4
latlon1,276,1,276.4
hostgal_photoz_certain,953,1,879.6
flux_min,494,2,473.8
flux_max,446,2,466.6
flux_mean,330,2,357.6
flux_median,906,2,921.8
flux_std,282,2,291.8
flux_skew,880,2,881.0
flux_err_min,698,2,759.6
flux_err_max,248,2,280.2
flux_err_mean,283,2,296.0
flux_err_median,276,2,316.4
flux_err_std,295,2,373.0
flux_err_skew,211,2,269.0
detected_mean,568,2,653.8
flux_ratio_sq_sum,272,2,309.6
flux_ratio_sq_skew,429,2,449.6
flux_by_flux_ratio_sq_sum,189,2,228.6
flux_by_flux_ratio_sq_skew,682,2,713.2
flux_w_mean,399,2,445.4
flux_diff1,306,2,331.0
flux_diff2,726,2,752.2
flux_diff3,651,2,662.6
"0__fft_coefficient__coeff_0__attr_""abs""",744,2,812.8
"0__fft_coefficient__coeff_1__attr_""abs""",707,2,751.4
0__kurtosis,384,2,421.6
0__skewness,565,2,600.2
"1__fft_coefficient__coeff_0__attr_""abs""",528,2,558.0
"1__fft_coefficient__coeff_1__attr_""abs""",801,2,780.2
1__kurtosis,547,2,512.2
1__skewness,611,2,650.4
"2__fft_coefficient__coeff_0__attr_""abs""",467,2,480.8
"2__fft_coefficient__coeff_1__attr_""abs""",601,2,603.4
2__kurtosis,616,2,610.8
2__skewness,690,2,729.4
"3__fft_coefficient__coeff_0__attr_""abs""",336,2,367.2
"3__fft_coefficient__coeff_1__attr_""abs""",322,2,372.2
3__kurtosis,624,2,667.0
3__skewness,509,2,542.6
"4__fft_coefficient__coeff_0__attr_""abs""",449,2,494.4
"4__fft_coefficient__coeff_1__attr_""abs""",502,2,457.4
4__kurtosis,536,2,543.8
4__skewness,539,2,547.6
"5__fft_coefficient__coeff_0__attr_""abs""",783,2,774.4
"5__fft_coefficient__coeff_1__attr_""abs""",895,2,932.2
5__kurtosis,515,2,565.6
5__skewness,477,2,519.8
flux__length,217,2,270.0
flux__longest_strike_above_mean,795,2,866.0
flux__longest_strike_below_mean,322,2,327.4
flux__mean_abs_change,486,2,480.2
flux__mean_change,427,2,498.8
flux_by_flux_ratio_sq__longest_strike_above_mean,484,2,480.8
flux_by_flux_ratio_sq__longest_strike_below_mean,464,2,542.6
mjd__mean_abs_change,706,2,711.4
mjd__mean_change,327,2,335.2
mjd_diff_det,1529,2,1636.2
hostgal_photoz,1821,2,1886.4
hostgal_photoz_err,999,2,1074.6
distmod,1110,2,1117.8
mwebv,223,2,241.2
haversine,240,2,268.4
latlon1,255,2,276.4
hostgal_photoz_certain,853,2,879.6
flux_min,476,3,473.8
flux_max,468,3,466.6
flux_mean,320,3,357.6
flux_median,908,3,921.8
flux_std,295,3,291.8
flux_skew,850,3,881.0
flux_err_min,796,3,759.6
flux_err_max,253,3,280.2
flux_err_mean,231,3,296.0
flux_err_median,315,3,316.4
flux_err_std,362,3,373.0
flux_err_skew,254,3,269.0
detected_mean,682,3,653.8
flux_ratio_sq_sum,331,3,309.6
flux_ratio_sq_skew,467,3,449.6
flux_by_flux_ratio_sq_sum,247,3,228.6
flux_by_flux_ratio_sq_skew,709,3,713.2
flux_w_mean,371,3,445.4
flux_diff1,282,3,331.0
flux_diff2,749,3,752.2
flux_diff3,615,3,662.6
"0__fft_coefficient__coeff_0__attr_""abs""",796,3,812.8
"0__fft_coefficient__coeff_1__attr_""abs""",752,3,751.4
0__kurtosis,426,3,421.6
0__skewness,551,3,600.2
"1__fft_coefficient__coeff_0__attr_""abs""",532,3,558.0
"1__fft_coefficient__coeff_1__attr_""abs""",686,3,780.2
1__kurtosis,502,3,512.2
1__skewness,633,3,650.4
"2__fft_coefficient__coeff_0__attr_""abs""",389,3,480.8
"2__fft_coefficient__coeff_1__attr_""abs""",527,3,603.4
2__kurtosis,547,3,610.8
2__skewness,736,3,729.4
"3__fft_coefficient__coeff_0__attr_""abs""",365,3,367.2
"3__fft_coefficient__coeff_1__attr_""abs""",337,3,372.2
3__kurtosis,607,3,667.0
3__skewness,542,3,542.6
"4__fft_coefficient__coeff_0__attr_""abs""",585,3,494.4
"4__fft_coefficient__coeff_1__attr_""abs""",417,3,457.4
4__kurtosis,502,3,543.8
4__skewness,511,3,547.6
"5__fft_coefficient__coeff_0__attr_""abs""",751,3,774.4
"5__fft_coefficient__coeff_1__attr_""abs""",894,3,932.2
5__kurtosis,537,3,565.6
5__skewness,533,3,519.8
flux__length,268,3,270.0
flux__longest_strike_above_mean,845,3,866.0
flux__longest_strike_below_mean,309,3,327.4
flux__mean_abs_change,477,3,480.2
flux__mean_change,451,3,498.8
flux_by_flux_ratio_sq__longest_strike_above_mean,429,3,480.8
flux_by_flux_ratio_sq__longest_strike_below_mean,551,3,542.6
mjd__mean_abs_change,709,3,711.4
mjd__mean_change,307,3,335.2
mjd_diff_det,1616,3,1636.2
hostgal_photoz,1838,3,1886.4
hostgal_photoz_err,1034,3,1074.6
distmod,1046,3,1117.8
mwebv,236,3,241.2
haversine,265,3,268.4
latlon1,301,3,276.4
hostgal_photoz_certain,864,3,879.6
flux_min,438,4,473.8
flux_max,465,4,466.6
flux_mean,376,4,357.6
flux_median,942,4,921.8
flux_std,264,4,291.8
flux_skew,892,4,881.0
flux_err_min,746,4,759.6
flux_err_max,247,4,280.2
flux_err_mean,339,4,296.0
flux_err_median,272,4,316.4
flux_err_std,415,4,373.0
flux_err_skew,205,4,269.0
detected_mean,637,4,653.8
flux_ratio_sq_sum,336,4,309.6
flux_ratio_sq_skew,387,4,449.6
flux_by_flux_ratio_sq_sum,213,4,228.6
flux_by_flux_ratio_sq_skew,711,4,713.2
flux_w_mean,439,4,445.4
flux_diff1,272,4,331.0
flux_diff2,757,4,752.2
flux_diff3,620,4,662.6
"0__fft_coefficient__coeff_0__attr_""abs""",797,4,812.8
"0__fft_coefficient__coeff_1__attr_""abs""",677,4,751.4
0__kurtosis,421,4,421.6
0__skewness,576,4,600.2
"1__fft_coefficient__coeff_0__attr_""abs""",532,4,558.0
"1__fft_coefficient__coeff_1__attr_""abs""",749,4,780.2
1__kurtosis,429,4,512.2
1__skewness,613,4,650.4
"2__fft_coefficient__coeff_0__attr_""abs""",417,4,480.8
"2__fft_coefficient__coeff_1__attr_""abs""",624,4,603.4
2__kurtosis,594,4,610.8
2__skewness,679,4,729.4
"3__fft_coefficient__coeff_0__attr_""abs""",314,4,367.2
"3__fft_coefficient__coeff_1__attr_""abs""",286,4,372.2
3__kurtosis,659,4,667.0
3__skewness,548,4,542.6
"4__fft_coefficient__coeff_0__attr_""abs""",451,4,494.4
"4__fft_coefficient__coeff_1__attr_""abs""",427,4,457.4
4__kurtosis,453,4,543.8
4__skewness,516,4,547.6
"5__fft_coefficient__coeff_0__attr_""abs""",677,4,774.4
"5__fft_coefficient__coeff_1__attr_""abs""",865,4,932.2
5__kurtosis,554,4,565.6
5__skewness,495,4,519.8
flux__length,219,4,270.0
flux__longest_strike_above_mean,828,4,866.0
flux__longest_strike_below_mean,296,4,327.4
flux__mean_abs_change,408,4,480.2
flux__mean_change,471,4,498.8
flux_by_flux_ratio_sq__longest_strike_above_mean,491,4,480.8
flux_by_flux_ratio_sq__longest_strike_below_mean,516,4,542.6
mjd__mean_abs_change,654,4,711.4
mjd__mean_change,297,4,335.2
mjd_diff_det,1649,4,1636.2
hostgal_photoz,1788,4,1886.4
hostgal_photoz_err,1004,4,1074.6
distmod,1156,4,1117.8
mwebv,217,4,241.2
haversine,246,4,268.4
latlon1,208,4,276.4
hostgal_photoz_certain,890,4,879.6
flux_min,464,5,473.8
flux_max,543,5,466.6
flux_mean,359,5,357.6
flux_median,956,5,921.8
flux_std,310,5,291.8
flux_skew,872,5,881.0
flux_err_min,777,5,759.6
flux_err_max,339,5,280.2
flux_err_mean,326,5,296.0
flux_err_median,369,5,316.4
flux_err_std,438,5,373.0
flux_err_skew,326,5,269.0
detected_mean,699,5,653.8
flux_ratio_sq_sum,307,5,309.6
flux_ratio_sq_skew,530,5,449.6
flux_by_flux_ratio_sq_sum,245,5,228.6
flux_by_flux_ratio_sq_skew,787,5,713.2
flux_w_mean,520,5,445.4
flux_diff1,402,5,331.0
flux_diff2,768,5,752.2
flux_diff3,699,5,662.6
"0__fft_coefficient__coeff_0__attr_""abs""",873,5,812.8
"0__fft_coefficient__coeff_1__attr_""abs""",835,5,751.4
0__kurtosis,424,5,421.6
0__skewness,662,5,600.2
"1__fft_coefficient__coeff_0__attr_""abs""",607,5,558.0
"1__fft_coefficient__coeff_1__attr_""abs""",835,5,780.2
1__kurtosis,565,5,512.2
1__skewness,724,5,650.4
"2__fft_coefficient__coeff_0__attr_""abs""",633,5,480.8
"2__fft_coefficient__coeff_1__attr_""abs""",617,5,603.4
2__kurtosis,757,5,610.8
2__skewness,844,5,729.4
"3__fft_coefficient__coeff_0__attr_""abs""",421,5,367.2
"3__fft_coefficient__coeff_1__attr_""abs""",455,5,372.2
3__kurtosis,785,5,667.0
3__skewness,572,5,542.6
"4__fft_coefficient__coeff_0__attr_""abs""",497,5,494.4
"4__fft_coefficient__coeff_1__attr_""abs""",454,5,457.4
4__kurtosis,586,5,543.8
4__skewness,596,5,547.6
"5__fft_coefficient__coeff_0__attr_""abs""",811,5,774.4
"5__fft_coefficient__coeff_1__attr_""abs""",1056,5,932.2
5__kurtosis,647,5,565.6
5__skewness,544,5,519.8
flux__length,317,5,270.0
flux__longest_strike_above_mean,980,5,866.0
flux__longest_strike_below_mean,387,5,327.4
flux__mean_abs_change,528,5,480.2
flux__mean_change,549,5,498.8
flux_by_flux_ratio_sq__longest_strike_above_mean,455,5,480.8
flux_by_flux_ratio_sq__longest_strike_below_mean,628,5,542.6
mjd__mean_abs_change,695,5,711.4
mjd__mean_change,354,5,335.2
mjd_diff_det,1729,5,1636.2
hostgal_photoz,2036,5,1886.4
hostgal_photoz_err,1248,5,1074.6
distmod,1187,5,1117.8
mwebv,250,5,241.2
haversine,340,5,268.4
latlon1,342,5,276.4
hostgal_photoz_certain,838,5,879.6
